run_id,run_type,timestamp,commit_hash,script_used,config_file,input_data,output_prefix,execution_time_min,best_model,best_who_score,sensitivity,specificity,who_compliant,gpu_device,notes,executive_summary_path,detailed_results_paths
final_embeddings_gpu_single_20250722_195400_ac133f,single_split,20250722_195400,74ed391,03_tb_detection_gpu_optimized.py,configs/final_embeddings_gpu_single_20250722_195400_ac133f_config.json,"final_embeddings.npz,data/final_embeddings_metadata.csv,data/clean_patients_final.csv",final_embeddings_gpu_single_20250722_195400_ac133f,~15,Naive Bayes,1.153,0.846,0.614,No,MPS_PYTORCH_ONLY,Baseline single train/test split run,results/final_embeddings_gpu_single_20250722_195400_ac133f_gpu_executive_summary.txt,"results/final_embeddings_gpu_single_20250722_195400_ac133f_gpu_analysis_results.csv,results/final_embeddings_gpu_single_20250722_195400_ac133f_gpu_confusion_matrices_grid.png,results/final_embeddings_gpu_single_20250722_195400_ac133f_gpu_performance_dashboard.png,results/final_embeddings_gpu_single_20250722_195400_ac133f_gpu_precision_recall_curves.png,results/final_embeddings_gpu_single_20250722_195400_ac133f_gpu_roc_curves.png,results/final_embeddings_gpu_single_20250722_195400_ac133f_gpu_who_compliance_analysis.png"
final_embeddings_gpu_cv5fold_20250722_203758_1c4c11,cross_validation,20250722_203758,74ed391,03_tb_detection_gpu_optimized.py,configs/final_embeddings_gpu_cv5fold_20250722_203758_1c4c11_config.json,"final_embeddings.npz,data/final_embeddings_metadata.csv,data/clean_patients_final.csv",final_embeddings_gpu_cv5fold_20250722_203758_1c4c11,~25,Naive Bayes,1.059,0.736,0.647,No,MPS_PYTORCH_ONLY,Baseline 5-fold cross-validation run,results/final_embeddings_gpu_cv5fold_20250722_203758_1c4c11_gpu_cross_validation_executive_summary.txt,"results/final_embeddings_gpu_cv5fold_20250722_203758_1c4c11_gpu_cross_validation_detailed.csv,results/final_embeddings_gpu_cv5fold_20250722_203758_1c4c11_gpu_cross_validation_detailed.xlsx,results/final_embeddings_gpu_cv5fold_20250722_203758_1c4c11_gpu_cross_validation_summary.csv,results/final_embeddings_gpu_cv5fold_20250722_203758_1c4c11_gpu_cv_fold_variance.png,results/final_embeddings_gpu_cv5fold_20250722_203758_1c4c11_gpu_cv_performance_dashboard.png,results/final_embeddings_gpu_cv5fold_20250722_203758_1c4c11_gpu_cv_precision_recall_curves.png,results/final_embeddings_gpu_cv5fold_20250722_203758_1c4c11_gpu_cv_roc_curves.png,results/final_embeddings_gpu_cv5fold_20250722_203758_1c4c11_gpu_cv_who_compliance_analysis.png"
final_embeddings_hybrid_clinical_cv5fold_20250724_024336_1c4c11,cross_validation_hybrid,20250724_024336,74ed391,03_tb_detection_hybrid_clinical.py,"configs/final_embeddings_gpu_cv5fold_Hybrid clinical+audio: Tier 1 features (Sex,Age,BMI,Temperature,HR) with WHO optimization_20250724_024336_1c4c11_config.json","final_embeddings.npz,data/final_embeddings_metadata.csv,data/clean_patients_final.csv,R2D2 lung sounds metadata_TRAIN_2025.05.08_v3.csv",final_embeddings_hybrid_clinical_cv5fold_20250724_024336_1c4c11,~8,XGBoost,1.166,0.539,0.865,No,MPS_PYTORCH_ONLY,"Hybrid audio+clinical features: Tier 1 clinical (Sex,Age,BMI,Temperature,HR) + HeAR embeddings, +14.2% XGBoost sensitivity, +8.9% WHO-MLP sensitivity","results/final_embeddings_gpu_cv5fold_Hybrid clinical+audio: Tier 1 features (Sex,Age,BMI,Temperature,HR) with WHO optimization_20250724_024336_1c4c11_gpu_cross_validation_executive_summary.txt","results/final_embeddings_gpu_cv5fold_Hybrid clinical+audio: Tier 1 features (Sex,Age,BMI,Temperature,HR) with WHO optimization_20250724_024336_1c4c11_gpu_cross_validation_detailed.csv,results/final_embeddings_gpu_cv5fold_Hybrid clinical+audio: Tier 1 features (Sex,Age,BMI,Temperature,HR) with WHO optimization_20250724_024336_1c4c11_gpu_cross_validation_summary.csv,results/final_embeddings_gpu_cv5fold_Hybrid clinical+audio: Tier 1 features (Sex,Age,BMI,Temperature,HR) with WHO optimization_20250724_024336_1c4c11_gpu_cv_fold_variance.png,results/final_embeddings_gpu_cv5fold_Hybrid clinical+audio: Tier 1 features (Sex,Age,BMI,Temperature,HR) with WHO optimization_20250724_024336_1c4c11_gpu_cv_performance_dashboard.png,results/final_embeddings_gpu_cv5fold_Hybrid clinical+audio: Tier 1 features (Sex,Age,BMI,Temperature,HR) with WHO optimization_20250724_024336_1c4c11_gpu_cv_precision_recall_curves.png,results/final_embeddings_gpu_cv5fold_Hybrid clinical+audio: Tier 1 features (Sex,Age,BMI,Temperature,HR) with WHO optimization_20250724_024336_1c4c11_gpu_cv_roc_curves.png,results/final_embeddings_gpu_cv5fold_Hybrid clinical+audio: Tier 1 features (Sex,Age,BMI,Temperature,HR) with WHO optimization_20250724_024336_1c4c11_gpu_cv_who_compliance_analysis.png"
final_embeddings_ensemble_cv5fold_20250727_212704_1c4c11,cross_validation_ensemble,20250727_212704,74ed391,03_tb_detection_ensemble.py,configs/final_embeddings_gpu_cv5fold_Sensitivity-weighted ensemble: NB+LR+WHO-MLP+XGB for WHO compliance breakthrough_20250727_212704_1c4c11_config.json,"final_embeddings.npz,data/final_embeddings_metadata.csv,data/clean_patients_final.csv",final_embeddings_gpu_cv5fold_Sensitivity-weighted,~2,Ensemble (NB:LR:WHO-MLP:XGB),1.184,0.585,0.761,No,MPS_PYTORCH_ONLY,Sensitivity-weighted ensemble: NB+LR+WHO-MLP+XGBoost with dynamic weights. Balanced sensitivity-specificity tradeoff but didn't break 88% sensitivity ceiling,results/final_embeddings_gpu_cv5fold_Sensitivity-weighted ensemble: NB+LR+WHO-MLP+XGB for WHO compliance breakthrough_20250727_212704_1c4c11__executive_summary.txt,"results/final_embeddings_gpu_cv5fold_Sensitivity-weighted ensemble: NB+LR+WHO-MLP+XGB for WHO compliance breakthrough_20250727_212704_1c4c11__analysis_results.csv,results/final_embeddings_gpu_cv5fold_Sensitivity-weighted ensemble: NB+LR+WHO-MLP+XGB for WHO compliance breakthrough_20250727_212704_1c4c11__cross_validation_detailed.csv,results/final_embeddings_gpu_cv5fold_Sensitivity-weighted ensemble: NB+LR+WHO-MLP+XGB for WHO compliance breakthrough_20250727_212704_1c4c11__cross_validation_summary.csv,results/final_embeddings_gpu_cv5fold_Sensitivity-weighted ensemble: NB+LR+WHO-MLP+XGB for WHO compliance breakthrough_20250727_212704_1c4c11_gpu_confusion_matrices_grid.png,results/final_embeddings_gpu_cv5fold_Sensitivity-weighted ensemble: NB+LR+WHO-MLP+XGB for WHO compliance breakthrough_20250727_212704_1c4c11_gpu_cv_fold_variance.png,results/final_embeddings_gpu_cv5fold_Sensitivity-weighted ensemble: NB+LR+WHO-MLP+XGB for WHO compliance breakthrough_20250727_212704_1c4c11_gpu_performance_dashboard.png,results/final_embeddings_gpu_cv5fold_Sensitivity-weighted ensemble: NB+LR+WHO-MLP+XGB for WHO compliance breakthrough_20250727_212704_1c4c11_gpu_precision_recall_curves.png,results/final_embeddings_gpu_cv5fold_Sensitivity-weighted ensemble: NB+LR+WHO-MLP+XGB for WHO compliance breakthrough_20250727_212704_1c4c11_gpu_roc_curves.png,results/final_embeddings_gpu_cv5fold_Sensitivity-weighted ensemble: NB+LR+WHO-MLP+XGB for WHO compliance breakthrough_20250727_212704_1c4c11_gpu_who_compliance_analysis.png"
final_embeddings_gpu_cv5fold_threshold_consistency_20250729_055816_1c4c11,cross_validation_optimized_thresholds,20250729_055816,74ed391,03_tb_detection_gpu_optimized.py,"configs/final_embeddings_gpu_cv5fold_Aggressive sensitivity optimization with 8:1 class weights, 10:1 loss penalty, and relaxed threshold constraints_20250729_055816_1c4c11_config.json","final_embeddings.npz,data/final_embeddings_metadata.csv,data/clean_patients_final.csv",final_embeddings_gpu_cv5fold_threshold_consistency_20250729_055816_1c4c11,~6,MLP (GPU),~1.52,~0.80,~0.62,No,MPS_PYTORCH_ONLY,"Fixed threshold consistency: MLP (GPU) selected for optimal clinical balance - 80% sensitivity with 62% specificity using optimized thresholds, plus excellent consistency and low variance across folds","results/final_embeddings_gpu_cv5fold_Aggressive sensitivity optimization with 8:1 class weights, 10:1 loss penalty, and relaxed threshold constraints_20250729_055816_1c4c11_gpu_cross_validation_executive_summary.txt","results/final_embeddings_gpu_cv5fold_Aggressive sensitivity optimization with 8:1 class weights, 10:1 loss penalty, and relaxed threshold constraints_20250729_055816_1c4c11_gpu_cross_validation_detailed.csv,results/final_embeddings_gpu_cv5fold_Aggressive sensitivity optimization with 8:1 class weights, 10:1 loss penalty, and relaxed threshold constraints_20250729_055816_1c4c11_gpu_cross_validation_summary.csv,results/final_embeddings_gpu_cv5fold_Aggressive sensitivity optimization with 8:1 class weights, 10:1 loss penalty, and relaxed threshold constraints_20250729_055816_1c4c11_gpu_cv_fold_variance.png,results/final_embeddings_gpu_cv5fold_Aggressive sensitivity optimization with 8:1 class weights, 10:1 loss penalty, and relaxed threshold constraints_20250729_055816_1c4c11_gpu_cv_performance_dashboard.png,results/final_embeddings_gpu_cv5fold_Aggressive sensitivity optimization with 8:1 class weights, 10:1 loss penalty, and relaxed threshold constraints_20250729_055816_1c4c11_gpu_cv_precision_recall_curves.png,results/final_embeddings_gpu_cv5fold_Aggressive sensitivity optimization with 8:1 class weights, 10:1 loss penalty, and relaxed threshold constraints_20250729_055816_1c4c11_gpu_cv_roc_curves.png,results/final_embeddings_gpu_cv5fold_Aggressive sensitivity optimization with 8:1 class weights, 10:1 loss penalty, and relaxed threshold constraints_20250729_055816_1c4c11_gpu_cv_who_compliance_analysis.png"
final_embeddings_gpu_cv3fold_20250729_063852_98dcc4,cross_validation_3fold,20250729_063852,74ed391,03_tb_detection_gpu_optimized.py,configs/final_embeddings_gpu_cv3fold_3-fold CV test with aggressive sensitivity optimization_20250729_063852_98dcc4_config.json,"final_embeddings.npz,data/final_embeddings_metadata.csv,data/clean_patients_final.csv",final_embeddings_gpu_cv3fold_20250729_063852_98dcc4,~3,Logistic Regression,1.124,0.765,0.645,No,MPS_PYTORCH_ONLY,3-fold CV validation: 40% faster execution with maintained statistical validity - Logistic Regression leads with 76.5% sensitivity and 64.5% specificity using optimized thresholds,results/final_embeddings_gpu_cv3fold_3-fold CV test with aggressive sensitivity optimization_20250729_063852_98dcc4_gpu_cross_validation_executive_summary.txt,"results/final_embeddings_gpu_cv3fold_3-fold CV test with aggressive sensitivity optimization_20250729_063852_98dcc4_gpu_cross_validation_detailed.csv,results/final_embeddings_gpu_cv3fold_3-fold CV test with aggressive sensitivity optimization_20250729_063852_98dcc4_gpu_cross_validation_summary.csv,results/final_embeddings_gpu_cv3fold_3-fold CV test with aggressive sensitivity optimization_20250729_063852_98dcc4_gpu_cv_fold_variance.png,results/final_embeddings_gpu_cv3fold_3-fold CV test with aggressive sensitivity optimization_20250729_063852_98dcc4_gpu_cv_performance_dashboard.png,results/final_embeddings_gpu_cv3fold_3-fold CV test with aggressive sensitivity optimization_20250729_063852_98dcc4_gpu_cv_precision_recall_curves.png,results/final_embeddings_gpu_cv3fold_3-fold CV test with aggressive sensitivity optimization_20250729_063852_98dcc4_gpu_cv_roc_curves.png,results/final_embeddings_gpu_cv3fold_3-fold CV test with aggressive sensitivity optimization_20250729_063852_98dcc4_gpu_cv_who_compliance_analysis.png"
final_embeddings_reproduction_gpu_cv3fold_20250730_225849_d9eafe,cross_validation_3fold_reproduction,20250730_225849,74ed391,03_tb_detection_gpu_optimized.py,configs/final_embeddings_reproduction_gpu_cv3fold_REPRODUCTION: 3-fold CV with fixes - aggressive sensitivity optimization_20250730_225849_d9eafe_config.json,"final_embeddings.npz,data/final_embeddings_metadata.csv,data/clean_patients_final.csv",final_embeddings_reproduction_gpu_cv3fold_20250730_225849_d9eafe,~4,WHO-MLP,1.134,0.930,0.408,No,MPS_PYTORCH_ONLY,"REPRODUCTION RUN: 3-fold CV with ALL consistency fixes applied - perfect data consistency across plots/CSVs/summaries, corrected std calculations (ddof=1), all outputs use optimal threshold metrics",results/final_embeddings_reproduction_gpu_cv3fold_REPRODUCTION: 3-fold CV with fixes - aggressive sensitivity optimization_20250730_225849_d9eafe_gpu_cross_validation_executive_summary.txt,"results/final_embeddings_reproduction_gpu_cv3fold_REPRODUCTION: 3-fold CV with fixes - aggressive sensitivity optimization_20250730_225849_d9eafe_gpu_cross_validation_detailed.csv,results/final_embeddings_reproduction_gpu_cv3fold_REPRODUCTION: 3-fold CV with fixes - aggressive sensitivity optimization_20250730_225849_d9eafe_gpu_cross_validation_summary.csv,results/final_embeddings_reproduction_gpu_cv3fold_REPRODUCTION: 3-fold CV with fixes - aggressive sensitivity optimization_20250730_225849_d9eafe_gpu_cv_fold_variance.png,results/final_embeddings_reproduction_gpu_cv3fold_REPRODUCTION: 3-fold CV with fixes - aggressive sensitivity optimization_20250730_225849_d9eafe_gpu_cv_performance_dashboard.png,results/final_embeddings_reproduction_gpu_cv3fold_REPRODUCTION: 3-fold CV with fixes - aggressive sensitivity optimization_20250730_225849_d9eafe_gpu_cv_precision_recall_curves.png,results/final_embeddings_reproduction_gpu_cv3fold_REPRODUCTION: 3-fold CV with fixes - aggressive sensitivity optimization_20250730_225849_d9eafe_gpu_cv_roc_curves.png,results/final_embeddings_reproduction_gpu_cv3fold_REPRODUCTION: 3-fold CV with fixes - aggressive sensitivity optimization_20250730_225849_d9eafe_gpu_cv_who_compliance_analysis.png"
final_embeddings_leave_one_out_cv5fold_leave_one_out_validation_20250805_182025_11255f,leave_one_out_validation,20250805_182025,current,04_leave_one_out_validation.py,configs/final_embeddings_leave_one_out_cv5fold_leave_one_out_validation_20250805_182025_11255f_config.json,"data/final_embeddings.npz,data/final_embeddings_metadata.csv,data/training_patients_leave_one_out.csv,data/test_patients_leave_one_out.csv",final_embeddings_leave_one_out_cv5fold_leave_one_out_validation_20250805_182025_11255f,~10,Logistic Regression,0.7323529411764705,0.8823529411764706,0.75,False,MPS_PYTORCH_ONLY,Leave-one-out validation: 5-fold CV on training data + validation on 65 reserved test patients from 5 countries. 0 WHO-compliant models.,results/final_embeddings_leave_one_out_cv5fold_leave_one_out_validation_20250805_182025_11255f_leave_one_out_executive_summary.txt,"results/final_embeddings_leave_one_out_cv5fold_leave_one_out_validation_20250805_182025_11255f_cross_validation_detailed.csv,results/final_embeddings_leave_one_out_cv5fold_leave_one_out_validation_20250805_182025_11255f_cross_validation_summary.csv,results/final_embeddings_leave_one_out_cv5fold_leave_one_out_validation_20250805_182025_11255f_leave_one_out_test_results.csv,results/final_embeddings_leave_one_out_cv5fold_leave_one_out_validation_20250805_182025_11255f_test_vs_cv_comparison.csv,results/final_embeddings_leave_one_out_cv5fold_leave_one_out_validation_20250805_182025_11255f_cv_performance_dashboard.png,results/final_embeddings_leave_one_out_cv5fold_leave_one_out_validation_20250805_182025_11255f_leave_one_out_test_dashboard.png"
final_embeddings_leave_one_out_cv5fold_leave_one_out_validation_20250805_201305_20335e,leave_one_out_validation,20250805_201305,current,04_leave_one_out_validation.py,configs/final_embeddings_leave_one_out_cv5fold_leave_one_out_validation_20250805_201305_20335e_config.json,"data/final_embeddings.npz,data/final_embeddings_metadata.csv,data/training_patients_leave_one_out.csv,data/test_patients_leave_one_out.csv",final_embeddings_leave_one_out_cv5fold_leave_one_out_validation_20250805_201305_20335e,~10,Logistic Regression,0.7323529411764705,0.8823529411764706,0.75,False,MPS_PYTORCH_ONLY,Leave-one-out validation: 5-fold CV on training data + validation on 65 reserved test patients from 5 countries. 0 WHO-compliant models.,results/final_embeddings_leave_one_out_cv5fold_leave_one_out_validation_20250805_201305_20335e_leave_one_out_executive_summary.txt,"results/final_embeddings_leave_one_out_cv5fold_leave_one_out_validation_20250805_201305_20335e_cross_validation_detailed.csv,results/final_embeddings_leave_one_out_cv5fold_leave_one_out_validation_20250805_201305_20335e_cross_validation_summary.csv,results/final_embeddings_leave_one_out_cv5fold_leave_one_out_validation_20250805_201305_20335e_leave_one_out_test_results.csv,results/final_embeddings_leave_one_out_cv5fold_leave_one_out_validation_20250805_201305_20335e_test_vs_cv_comparison.csv,results/final_embeddings_leave_one_out_cv5fold_leave_one_out_validation_20250805_201305_20335e_roc_curves.png,results/final_embeddings_leave_one_out_cv5fold_leave_one_out_validation_20250805_201305_20335e_precision_recall_curves.png,results/final_embeddings_leave_one_out_cv5fold_leave_one_out_validation_20250805_201305_20335e_who_compliance_analysis.png,results/final_embeddings_leave_one_out_cv5fold_leave_one_out_validation_20250805_201305_20335e_confusion_matrices_grid.png,results/final_embeddings_leave_one_out_cv5fold_leave_one_out_validation_20250805_201305_20335e_cv_fold_variance.png"
"final_embeddings_leave_one_out_cv5fold_""clinical_validation_updated_graphs_5fold""_20250805_213630_20335e",leave_one_out_validation,20250805_213630,current,04_leave_one_out_validation.py,"configs/final_embeddings_leave_one_out_cv5fold_""clinical_validation_updated_graphs_5fold""_20250805_213630_20335e_config.json","data/final_embeddings.npz,data/final_embeddings_metadata.csv,data/training_patients_leave_one_out.csv,data/test_patients_leave_one_out.csv","final_embeddings_leave_one_out_cv5fold_""clinical_validation_updated_graphs_5fold""_20250805_213630_20335e",~10,Logistic Regression,0.7323529411764705,0.8823529411764706,0.75,False,MPS_PYTORCH_ONLY,Leave-one-out validation: 5-fold CV on training data + validation on 65 reserved test patients from 5 countries. 0 WHO-compliant models.,"results/final_embeddings_leave_one_out_cv5fold_""clinical_validation_updated_graphs_5fold""_20250805_213630_20335e_leave_one_out_executive_summary.txt","results/final_embeddings_leave_one_out_cv5fold_""clinical_validation_updated_graphs_5fold""_20250805_213630_20335e_cross_validation_detailed.csv,results/final_embeddings_leave_one_out_cv5fold_""clinical_validation_updated_graphs_5fold""_20250805_213630_20335e_cross_validation_summary.csv,results/final_embeddings_leave_one_out_cv5fold_""clinical_validation_updated_graphs_5fold""_20250805_213630_20335e_leave_one_out_test_results.csv,results/final_embeddings_leave_one_out_cv5fold_""clinical_validation_updated_graphs_5fold""_20250805_213630_20335e_test_vs_cv_comparison.csv,results/final_embeddings_leave_one_out_cv5fold_""clinical_validation_updated_graphs_5fold""_20250805_213630_20335e_roc_curves.png,results/final_embeddings_leave_one_out_cv5fold_""clinical_validation_updated_graphs_5fold""_20250805_213630_20335e_precision_recall_curves.png,results/final_embeddings_leave_one_out_cv5fold_""clinical_validation_updated_graphs_5fold""_20250805_213630_20335e_who_compliance_analysis.png,results/final_embeddings_leave_one_out_cv5fold_""clinical_validation_updated_graphs_5fold""_20250805_213630_20335e_confusion_matrices_grid.png,results/final_embeddings_leave_one_out_cv5fold_""clinical_validation_updated_graphs_5fold""_20250805_213630_20335e_cv_fold_variance.png"
